label_id,label_type,severity,gsv_panorama_id,zoom,heading,pitch,camera_heading,camera_pitch,user_id,lat,lng,geometry,cluster_id,clustered,cluster_label_count,way_type,distance_to_road,distance_to_intersection,tag,tag_count,description
18134,NoSidewalk,4.0,Z6Ja9-4wJxpQZPEnn8KSXA,3,326.4375,-10.90625,323.40802001953125,1.379302978515625,bb78d1ab-85d6-4620-a1de-396a5785080a,45.31381988525391,-122.96400451660156,POINT (-122.96400451660156 45.313819885253906),10678,1,2,tertiary,36.87400285835147,0.0,1.0,3.0,0.0
18142,NoSidewalk,4.0,Xj2cLGwyFdmvW9764nWXLA,1,315.875,-34.0625,86.56097412109375,-0.5884628295898431,bb78d1ab-85d6-4620-a1de-396a5785080a,45.31146240234375,-122.96401977539062,POINT (-122.96401977539062 45.31146240234375),12062,1,2,residential,18.460327520883304,0.0,1.0,2.0,0.0
146,CurbRamp,1.0,0R2JTLibSCNsNb7aGNUzWg,1,50.125,-26.9375,269.8134765625,0.6780929565429681,d363619a-53e1-4ef4-a541-bb0278cae7c3,45.31761169433594,-122.95275115966795,POINT (-122.95275115966797 45.31761169433594),4305,1,3,tertiary,16.51017151409072,32.896165640773035,0.0,0.0,0.0
250,CurbRamp,2.0,SIRiUbNpH54imxj-z01Wnw,2,214.75,-18.91964340209961,270.9145202636719,1.339950561523437,d363619a-53e1-4ef4-a541-bb0278cae7c3,45.31730270385742,-122.9731674194336,POINT (-122.9731674194336 45.31730270385742),2275,1,3,secondary,32.557195616794914,63.23415149108703,1.0,1.0,0.0
147,CurbRamp,1.0,0R2JTLibSCNsNb7aGNUzWg,2,72.83036041259766,-13.714285850524902,269.8134765625,0.6780929565429681,d363619a-53e1-4ef4-a541-bb0278cae7c3,45.31759643554688,-122.95267486572266,POINT (-122.95267486572266 45.317596435546875),1303,1,4,secondary,24.66776582126813,40.796347603025005,0.0,0.0,0.0
18136,CurbRamp,1.0,aOtUkD69_bs0faCnt8IxHg,2,18.3125,-16.16964340209961,344.89190673828125,0.697181701660156,bb78d1ab-85d6-4620-a1de-396a5785080a,45.31380462646485,-122.96376037597656,POINT (-122.96376037597656 45.313804626464844),3401,1,2,tertiary,24.108763856146982,38.035770588694085,0.0,0.0,0.0
18147,NoSidewalk,5.0,iAc3eaDPFSHrKO0JuzyuKA,1,127.75,-25.8125,78.36283111572266,-0.125816345214843,bb78d1ab-85d6-4620-a1de-396a5785080a,45.31131362915039,-122.96542358398438,POINT (-122.96542358398438 45.31131362915039),13322,1,2,residential,34.97923181711424,0.0,1.0,2.0,0.0
8914,NoSidewalk,3.0,fEK-IpD1SYVikiN-jICJbg,1,1.7946428060531612,0.0,179.28318786621094,2.292190551757812,e9273525-f0ad-442b-ab53-ec3fed09cdff,45.31698989868164,-122.95271301269533,POINT (-122.95271301269531 45.31698989868164),13048,0,1,tertiary,24.50050174884764,0.0,0.0,0.0,0.0
9000,CurbRamp,1.0,RgE-a41wTVz2BuHQ4fTu1w,1,133.8125,-28.0625,359.5979919433594,0.207176208496093,bf66138c-6ecf-4bea-8b0a-7485b5b171e9,45.29758071899414,-122.97608184814452,POINT (-122.97608184814453 45.29758071899414),2106,0,1,residential,18.381406986588303,257.71266211092615,0.0,0.0,0.0
9225,NoSidewalk,3.0,gpOgA9F4Y8ZzGNmqSX4ufg,1,15.875,-12.3125,357.8357238769531,0.093101501464843,e9273525-f0ad-442b-ab53-ec3fed09cdff,45.31743240356445,-122.96256256103516,POINT (-122.96256256103516 45.31743240356445),12064,0,1,residential,27.25308274422747,0.0,1.0,1.0,0.0
